region,code,regex
加纳-Eastern-Koforidua-固定电话,233,^0?3421\d{5}$
加纳-Eastern-Nkawkaw-固定电话,233,^0?3423\d{5}$
加纳-Eastern-Mpraeso-固定电话,233,^0?3424\d{5}$
加纳-Eastern-Donkorkrom-固定电话,233,^0?3425\d{5}$
加纳-Eastern-Suhum-固定电话,233,^0?3426\d{5}$
加纳-Eastern-Asamankese-固定电话,233,^0?3427\d{5}$
加纳-Eastern-AkwapimMampong-固定电话,233,^0?3428\d{5}$
加纳-Eastern-Aburi-固定电话,233,^0?34292\d{4}$
加纳-Eastern-AkimOda-固定电话,233,^0?3430\d{5}$
加纳-Eastern-Nsawam-固定电话,233,^0?3431\d{5}$
加纳-Eastern-未指定城市-固定电话,233,^0?347\d{6}$
加纳-BrongAhafo-Sunyani-固定电话,233,^0?3520\d{5}$
加纳-BrongAhafo-Bechem-固定电话,233,^0?3521\d{5}$
加纳-BrongAhafo-Berekum-固定电话,233,^0?3522\d{5}$
加纳-BrongAhafo-DormaaAhenkro-固定电话,233,^0?3523\d{5}$
加纳-BrongAhafo-Wenchi-固定电话,233,^0?3524\d{5}$
加纳-BrongAhafo-Techiman-固定电话,233,^0?3525\d{5}$
加纳-BrongAhafo-Atebubu-固定电话,233,^0?3526\d{5}$
加纳-BrongAhafo-Yeji-固定电话,233,^0?3527\d{5}$
加纳-BrongAhafo-未指定城市-固定电话,233,^0?357\d{6}$
加纳-Volta-Keta&Akatsi-固定电话,233,^0?3620\d{5}$
加纳-Volta-Ho-固定电话,233,^0?3621\d{5}$
加纳-Volta-Hohoe-固定电话,233,^0?3623\d{5}$
加纳-Volta-Kpandu-固定电话,233,^0?3624\d{5}$
加纳-Volta-Kete-Krachi-固定电话,233,^0?3625\d{5}$
加纳-Volta-Denu/Aflao-固定电话,233,^0?3626\d{5}$
加纳-Volta-Amedzofe-固定电话,233,^0?3627\d{5}$
加纳-Volta-未指定城市-固定电话,233,^0?367\d{6}$
加纳-Northern-Salaga-固定电话,233,^0?3720\d{5}$
加纳-Northern-Tamale-固定电话,233,^0?3721\d{5}$
加纳-Northern-Walewale-固定电话,233,^0?3722\d{5}$
加纳-Northern-Buipe-固定电话,233,^0?3723\d{5}$
加纳-Northern-Damango-固定电话,233,^0?3724\d{5}$
加纳-Northern-Yendi-固定电话,233,^0?3725\d{5}$
加纳-Northern-Bole-固定电话,233,^0?3726\d{5}$
加纳-Northern-未指定城市-固定电话,233,^0?377\d{6}$
加纳-UpperEast-Bawku-固定电话,233,^0?3820\d{5}$
加纳-UpperEast-Bolgatanga-固定电话,233,^0?3821\d{5}$
加纳-UpperEast-Navrongo-固定电话,233,^0?3822\d{5}$
加纳-UpperEast-未指定城市-固定电话,233,^0?387\d{6}$
加纳-UpperWest-Wa-固定电话,233,^0?3920\d{5}$
加纳-UpperWest-未指定城市-固定电话,233,^0?397\d{6}$
尼日利亚-移动-AirtelNigeria701,234,^0?701\d{7}$
尼日利亚-移动-Visafone7025,234,^0?7025\d{6}$
尼日利亚-移动-Visafone7026,234,^0?7026\d{6}$
尼日利亚-移动-Starcomms7028,234,^0?7028\d{6}$
尼日利亚-移动-Starcomms7029,234,^0?7029\d{6}$
尼日利亚-移动-Multi-Links7027,234,^0?7027\d{6}$
尼日利亚-移动-MTNNigeria703,234,^0?703\d{7}$
尼日利亚-移动-Visafone704,234,^0?704\d{7}$
尼日利亚-移动-Globacom705,234,^0?705\d{7}$
尼日利亚-移动-MTNNigeria706,234,^0?706\d{7}$
尼日利亚-移动-ZoomMobile707,234,^0?707\d{7}$
尼日利亚-移动-AirtelNigeria708,234,^0?708\d{7}$
尼日利亚-移动-Multi-Links709,234,^0?709\d{7}$
尼日利亚-移动-AirtelNigeria802,234,^0?802\d{7}$
尼日利亚-移动-MTNNigeria803,234,^0?803\d{7}$
尼日利亚-移动-MTEL804,234,^0?804\d{7}$
尼日利亚-移动-Globacom805,234,^0?805\d{7}$
尼日利亚-移动-MTNNigeria806,234,^0?806\d{7}$
尼日利亚-移动-Globacom807,234,^0?807\d{7}$
尼日利亚-移动-AirtelNigeria808,234,^0?808\d{7}$
尼日利亚-移动-EtisalatNigeria809,234,^0?809\d{7}$
尼日利亚-移动-MTNNigeria810,234,^0?810\d{7}$
尼日利亚-移动-Globacom811,234,^0?811\d{7}$
尼日利亚-移动-AirtelNigeria812,234,^0?812\d{7}$
尼日利亚-移动-MTNNigeria813,234,^0?813\d{7}$
尼日利亚-移动-MTNNigeria814,234,^0?814\d{7}$
尼日利亚-移动-Globacom815,234,^0?815\d{7}$
尼日利亚-移动-MTNNigeria816,234,^0?816\d{7}$
尼日利亚-移动-EtisalatNigeria817,234,^0?817\d{7}$
尼日利亚-移动-EtisalatNigeria818,234,^0?818\d{7}$
尼日利亚-移动-Starcomms819,234,^0?819\d{7}$
尼日利亚-阿巴-固定电话,234,"^0?82\d{5,7}$"
尼日利亚-阿巴卡利基-固定电话,234,"^0?43\d{5,7}$"
尼日利亚-阿贝奥库塔-固定电话,234,"^0?39\d{5,7}$"
尼日利亚-阿布贾-固定电话,234,"^0?9\d{5,7}$"
尼日利亚-阿多-埃基蒂-固定电话,234,"^0?30\d{5,7}$"
尼日利亚-阿博尔-固定电话,234,"^0?55\d{5,7}$"
尼日利亚-阿华达-固定电话,234,"^0?86\d{5,7}$"
尼日利亚-阿库雷-固定电话,234,"^0?34\d{5,7}$"
尼日利亚-阿萨巴-固定电话,234,"^0?56\d{5,7}$"
尼日利亚-奥奇-固定电话,234,"^0?57\d{5,7}$"
尼日利亚-奥卡-固定电话,234,"^0?48\d{5,7}$"
尼日利亚-阿扎雷-固定电话,234,"^0?71\d{5,7}$"
尼日利亚-巴达格里-固定电话,234,"^0?1\d{5,7}$"
尼日利亚-包奇-固定电话,234,"^0?77\d{5,7}$"
尼日利亚-贝宁-固定电话,234,"^0?52\d{5,7}$"
尼日利亚-比尔宁凯比-固定电话,234,"^0?68\d{5,7}$"
尼日利亚-卡拉巴尔-固定电话,234,"^0?87\d{5,7}$"
尼日利亚-达马图鲁-固定电话,234,"^0?74\d{5,7}$"
尼日利亚-埃多-固定电话,234,"^0?52\d{5,7}$"
尼日利亚-埃努古-固定电话,234,"^0?42\d{5,7}$"
尼日利亚-贡贝-固定电话,234,"^0?72\d{5,7}$"
尼日利亚-古绍-固定电话,234,"^0?63\d{5,7}$"
尼日利亚-哈代贾-固定电话,234,"^0?78\d{5,7}$"
尼日利亚-伊巴丹-固定电话,234,"^0?2\d{5,7}$"
尼日利亚-伊杰颂-固定电话,234,"^0?37\d{5,7}$"
尼日利亚-伊卡雷-固定电话,234,"^0?50\d{5,7}$"
尼日利亚-伊费-固定电话,234,"^0?36\d{5,7}$"
尼日利亚-伊洛林-固定电话,234,"^0?31\d{5,7}$"
尼日利亚-扎里亚-固定电话,234,"^0?79\d{5,7}$"
尼日利亚-乔斯-固定电话,234,"^0?73\d{5,7}$"
尼日利亚-卡杜纳-固定电话,234,"^0?62\d{5,7}$"
尼日利亚-Kafanchau-固定电话,234,"^0?61\d{5,7}$"
尼日利亚-卡诺-固定电话,234,"^0?64\d{5,7}$"
尼日利亚-卡齐纳-固定电话,234,"^0?65\d{5,7}$"
尼日利亚-孔塔戈拉-固定电话,234,"^0?67\d{5,7}$"
尼日利亚-拉菲亚-固定电话,234,"^0?47\d{5,7}$"
尼日利亚-拉各斯-固定电话,234,"^0?1\d{5,7}$"
尼日利亚-洛科贾-固定电话,234,"^0?58\d{5,7}$"
尼日利亚-迈杜古里-固定电话,234,"^0?76\d{5,7}$"
尼日利亚-马库尔迪-固定电话,234,"^0?44\d{5,7}$"
尼日利亚-明纳-固定电话,234,"^0?66\d{5,7}$"
尼日利亚-新布萨-固定电话,234,"^0?33\d{5,7}$"
尼日利亚-尼日尔州-固定电话,234,"^0?66\d{5,7}$"
尼日利亚-奥戈贾-固定电话,234,"^0?45\d{5,7}$"
尼日利亚-奥基蒂普帕-固定电话,234,"^0?59\d{5,7}$"
尼日利亚-奥尼查-固定电话,234,"^0?46\d{5,7}$"
尼日利亚-奥绍博-固定电话,234,"^0?35\d{5,7}$"
尼日利亚-奥韦里-固定电话,234,"^0?83\d{5,7}$"
尼日利亚-奥沃-固定电话,234,"^0?51\d{5,7}$"
尼日利亚-奥约-固定电话,234,"^0?38\d{5,7}$"
尼日利亚-潘克欣-固定电话,234,"^0?70\d{5,7}$"
尼日利亚-哈尔科特港-固定电话,234,"^0?84\d{5,7}$"
尼日利亚-萨佩莱-固定电话,234,"^0?54\d{5,7}$"
尼日利亚-索科托-固定电话,234,"^0?60\d{5,7}$"
尼日利亚-乌穆阿希亚-固定电话,234,"^0?88\d{5,7}$"
尼日利亚-乌约-固定电话,234,"^0?85\d{5,7}$"
尼日利亚-瓦里-固定电话,234,"^0?53\d{5,7}$"
尼日利亚-武卡里-固定电话,234,"^0?41\d{5,7}$"
尼日利亚-耶诺亚-固定电话,234,"^0?89\d{5,7}$"
尼日利亚-约拉-固定电话,234,"^0?75\d{5,7}$"
尼日利亚-扎里亚-固定电话,234,"^0?69\d{5,7}$"
巴西-圣保罗州-圣保罗大都会区-固定电话,55,^0?11\d{8}$
巴西-圣保罗州-圣保罗大都会区-移动电话,55,^0?119\d{8}$
巴西-圣保罗州-帕拉伊巴谷-固定电话,55,^0?12\d{8}$
巴西-圣保罗州-帕拉伊巴谷-移动电话,55,^0?129\d{8}$
巴西-圣保罗州-桑托斯大都会区-固定电话,55,^0?13\d{8}$
巴西-圣保罗州-桑托斯大都会区-移动电话,55,^0?139\d{8}$
巴西-圣保罗州-中部-固定电话,55,^0?14\d{8}$
巴西-圣保罗州-中部-移动电话,55,^0?149\d{8}$
巴西-圣保罗州-西南-固定电话,55,^0?15\d{8}$
巴西-圣保罗州-西南-移动电话,55,^0?159\d{8}$
巴西-圣保罗州-东北-固定电话,55,^0?16\d{8}$
巴西-圣保罗州-东北-移动电话,55,^0?169\d{8}$
巴西-圣保罗州-西北-固定电话,55,^0?17\d{8}$
巴西-圣保罗州-西北-移动电话,55,^0?179\d{8}$
巴西-圣保罗州-西部-固定电话,55,^0?18\d{8}$
巴西-圣保罗州-西部-移动电话,55,^0?189\d{8}$
巴西-圣保罗州-中南-固定电话,55,^0?19\d{8}$
巴西-圣保罗州-中南-移动电话,55,^0?199\d{8}$
巴西-里约热内卢州-里约热内卢大都会区-固定电话,55,^0?21\d{8}$
巴西-里约热内卢州-里约热内卢大都会区-移动电话,55,^0?219\d{8}$
巴西-里约热内卢州-东部和北部-固定电话,55,^0?22\d{8}$
巴西-里约热内卢州-东部和北部-移动电话,55,^0?229\d{8}$
巴西-里约热内卢州-西部-固定电话,55,^0?24\d{8}$
巴西-里约热内卢州-西部-移动电话,55,^0?249\d{8}$
巴西-圣埃斯皮里图州-中部和北部-固定电话,55,^0?27\d{8}$
巴西-圣埃斯皮里图州-中部和北部-移动电话,55,^0?279\d{8}$
巴西-圣埃斯皮里图州-南部-固定电话,55,^0?28\d{8}$
巴西-圣埃斯皮里图州-南部-移动电话,55,^0?289\d{8}$
巴西-米纳斯吉拉斯州-中部-固定电话,55,^0?31\d{8}$
巴西-米纳斯吉拉斯州-中部-移动电话,55,^0?319\d{8}$
巴西-米纳斯吉拉斯州-东南-固定电话,55,^0?32\d{8}$
巴西-米纳斯吉拉斯州-东南-移动电话,55,^0?329\d{8}$
巴西-米纳斯吉拉斯州-东部和东北-固定电话,55,^0?33\d{8}$
巴西-米纳斯吉拉斯州-东部和东北-移动电话,55,^0?339\d{8}$
巴西-米纳斯吉拉斯州-西部-固定电话,55,^0?34\d{8}$
巴西-米纳斯吉拉斯州-西部-移动电话,55,^0?349\d{8}$
巴西-米纳斯吉拉斯州-西南-固定电话,55,^0?35\d{8}$
巴西-米纳斯吉拉斯州-西南-移动电话,55,^0?359\d{8}$
巴西-米纳斯吉拉斯州-中西部-固定电话,55,^0?37\d{8}$
巴西-米纳斯吉拉斯州-中西部-移动电话,55,^0?379\d{8}$
巴西-米纳斯吉拉斯州-北部-固定电话,55,^0?38\d{8}$
巴西-米纳斯吉拉斯州-北部-移动电话,55,^0?389\d{8}$
巴西-巴拉那州-库里奇巴大都会区-固定电话,55,^0?41\d{8}$
巴西-巴拉那州-库里奇巴大都会区-移动电话,55,^0?419\d{8}$
巴西-巴拉那州-中南部-固定电话,55,^0?42\d{8}$
巴西-巴拉那州-中南部-移动电话,55,^0?429\d{8}$
巴西-巴拉那州-东北-固定电话,55,^0?43\d{8}$
巴西-巴拉那州-东北-移动电话,55,^0?439\d{8}$
巴西-巴拉那州-西北-固定电话,55,^0?44\d{8}$
巴西-巴拉那州-西北-移动电话,55,^0?449\d{8}$
巴西-巴拉那州-西部-固定电话,55,^0?45\d{8}$
巴西-巴拉那州-西部-移动电话,55,^0?459\d{8}$
巴西-巴拉那州-西南-固定电话,55,^0?46\d{8}$
巴西-巴拉那州-西南-移动电话,55,^0?469\d{8}$
巴西-圣卡塔琳娜州-东北-固定电话,55,^0?47\d{8}$
巴西-圣卡塔琳娜州-东北-移动电话,55,^0?479\d{8}$
巴西-圣卡塔琳娜州-弗洛里亚诺波利斯大都会区-固定电话,55,^0?48\d{8}$
巴西-圣卡塔琳娜州-弗洛里亚诺波利斯大都会区-移动电话,55,^0?489\d{8}$
巴西-圣卡塔琳娜州-中部和西部-固定电话,55,^0?49\d{8}$
巴西-圣卡塔琳娜州-中部和西部-移动电话,55,^0?499\d{8}$
巴西-南里奥格兰德州-阿雷格里港大都会区-固定电话,55,^0?51\d{8}$
巴西-南里奥格兰德州-阿雷格里港大都会区-移动电话,55,^0?519\d{8}$
巴西-南里奥格兰德州-南部-固定电话,55,^0?53\d{8}$
巴西-南里奥格兰德州-南部-移动电话,55,^0?539\d{8}$
巴西-南里奥格兰德州-北部-固定电话,55,^0?54\d{8}$
巴西-南里奥格兰德州-北部-移动电话,55,^0?549\d{8}$
巴西-南里奥格兰德州-中西部和西北-固定电话,55,^0?55\d{8}$
巴西-南里奥格兰德州-中西部和西北-移动电话,55,^0?559\d{8}$
巴西-联邦区-巴西利亚及周边-固定电话,55,^0?61\d{8}$
巴西-联邦区-巴西利亚及周边-移动电话,55,^0?619\d{8}$
巴西-戈亚斯州-中部和北部-固定电话,55,^0?62\d{8}$
巴西-戈亚斯州-中部和北部-移动电话,55,^0?629\d{8}$
巴西-戈亚斯州-南部和西部-固定电话,55,^0?64\d{8}$
巴西-戈亚斯州-南部和西部-移动电话,55,^0?649\d{8}$
巴西-托坎廷斯州-全州-固定电话,55,^0?63\d{8}$
巴西-托坎廷斯州-全州-移动电话,55,^0?639\d{8}$
巴西-马托格罗索州-西南-固定电话,55,^0?65\d{8}$
巴西-马托格罗索州-西南-移动电话,55,^0?659\d{8}$
巴西-马托格罗索州-东部和北部-固定电话,55,^0?66\d{8}$
巴西-马托格罗索州-东部和北部-移动电话,55,^0?669\d{8}$
巴西-南马托格罗索州-全州-固定电话,55,^0?67\d{8}$
巴西-南马托格罗索州-全州-移动电话,55,^0?679\d{8}$
巴西-阿克雷州-全州-固定电话,55,^0?68\d{8}$
巴西-阿克雷州-全州-移动电话,55,^0?689\d{8}$
巴西-朗多尼亚州-全州-固定电话,55,^0?69\d{8}$
巴西-朗多尼亚州-全州-移动电话,55,^0?699\d{8}$
巴西-巴伊亚州-萨尔瓦多大都会区-固定电话,55,^0?71\d{8}$
巴西-巴伊亚州-萨尔瓦多大都会区-移动电话,55,^0?719\d{8}$
巴西-巴伊亚州-南部-固定电话,55,^0?73\d{8}$
巴西-巴伊亚州-南部-移动电话,55,^0?739\d{8}$
巴西-巴伊亚州-西北-固定电话,55,^0?74\d{8}$
巴西-巴伊亚州-西北-移动电话,55,^0?749\d{8}$
巴西-巴伊亚州-东北-固定电话,55,^0?75\d{8}$
巴西-巴伊亚州-东北-移动电话,55,^0?759\d{8}$
巴西-巴伊亚州-西南和西部-固定电话,55,^0?77\d{8}$
巴西-巴伊亚州-西南和西部-移动电话,55,^0?779\d{8}$
巴西-塞尔希培州-全州-固定电话,55,^0?79\d{8}$
巴西-塞尔希培州-全州-移动电话,55,^0?799\d{8}$
巴西-皮奥伊州-东部-固定电话,55,^0?80\d{8}$
巴西-伯南布哥州-东部-固定电话,55,^0?81\d{8}$
巴西-伯南布哥州-东部-移动电话,55,^0?819\d{8}$
巴西-伯南布哥州-中部和西部-固定电话,55,^0?87\d{8}$
巴西-伯南布哥州-中部和西部-移动电话,55,^0?879\d{8}$
巴西-阿拉戈斯州-全州-固定电话,55,^0?82\d{8}$
巴西-阿拉戈斯州-全州-移动电话,55,^0?829\d{8}$
巴西-帕拉伊巴州-全州-固定电话,55,^0?83\d{8}$
巴西-帕拉伊巴州-全州-移动电话,55,^0?839\d{8}$
巴西-北里奥格兰德州-全州-固定电话,55,^0?84\d{8}$
巴西-北里奥格兰德州-全州-移动电话,55,^0?849\d{8}$
巴西-塞阿拉州-福塔莱萨大都会区-固定电话,55,^0?85\d{8}$
巴西-塞阿拉州-福塔莱萨大都会区-移动电话,55,^0?859\d{8}$
巴西-塞阿拉州-中西部和南部-固定电话,55,^0?88\d{8}$
巴西-塞阿拉州-中西部和南部-移动电话,55,^0?889\d{8}$
巴西-皮奥伊州-北部-固定电话,55,^0?86\d{8}$
巴西-皮奥伊州-北部-移动电话,55,^0?869\d{8}$
巴西-皮奥伊州-中部和南部-固定电话,55,^0?89\d{8}$
巴西-皮奥伊州-中部和南部-移动电话,55,^0?899\d{8}$
巴西-帕拉州-东北-固定电话,55,^0?91\d{8}$
巴西-帕拉州-东北-移动电话,55,^0?919\d{8}$
巴西-帕拉州-中部和西部-固定电话,55,^0?93\d{8}$
巴西-帕拉州-中部和西部-移动电话,55,^0?939\d{8}$
巴西-帕拉州-东南-固定电话,55,^0?94\d{8}$
巴西-帕拉州-东南-移动电话,55,^0?949\d{8}$
巴西-亚马逊州-东北-固定电话,55,^0?92\d{8}$
巴西-亚马逊州-东北-移动电话,55,^0?929\d{8}$
巴西-亚马逊州-中南部和西部-固定电话,55,^0?97\d{8}$
巴西-亚马逊州-中南部和西部-移动电话,55,^0?979\d{8}$
巴西-罗赖马州-全州-固定电话,55,^0?95\d{8}$
巴西-罗赖马州-全州-移动电话,55,^0?959\d{8}$
巴西-阿马帕州-全州-固定电话,55,^0?96\d{8}$
巴西-阿马帕州-全州-移动电话,55,^0?969\d{8}$
巴西-马拉尼昂州-北部-固定电话,55,^0?98\d{8}$
巴西-马拉尼昂州-北部-移动电话,55,^0?989\d{8}$
巴西-马拉尼昂州-中部和南部-固定电话,55,^0?99\d{8}$
巴西-马拉尼昂州-中部和南部-移动电话,55,^0?999\d{8}$
阿根廷-布宜诺斯艾利斯-固定电话,54,^0?11\d{8}$
阿根廷-布宜诺斯艾利斯-移动电话,54,^0?1115\d{8}$
阿根廷-Acebal-固定电话,54,^0?3469\d{6}$
阿根廷-Acebal-移动电话,54,^0?346915\d{6}$
阿根廷-AdeliaMaria-固定电话,54,^0?3585\d{6}$
阿根廷-AdeliaMaria-移动电话,54,^0?358515\d{6}$
阿根廷-艾莫加斯塔-固定电话,54,^0?3827\d{6}$
阿根廷-艾莫加斯塔-移动电话,54,^0?382715\d{6}$
阿根廷-Alcaraz-固定电话,54,^0?3438\d{6}$
阿根廷-Alcaraz-移动电话,54,^0?343815\d{6}$
阿根廷-AlejandroKorn-固定电话,54,^0?2225\d{6}$
阿根廷-AlejandroKorn-移动电话,54,^0?222515\d{6}$
阿根廷-上格拉西亚-固定电话,54,^0?3547\d{6}$
阿根廷-上格拉西亚-移动电话,54,^0?354715\d{6}$
阿根廷-AmaichaDelValle-固定电话,54,^0?3892\d{6}$
阿根廷-AmaichaDelValle-移动电话,54,^0?389215\d{6}$
阿根廷-America-固定电话,54,^0?2337\d{6}$
阿根廷-America-移动电话,54,^0?233715\d{6}$
阿根廷-阿尼亚图亚-固定电话,54,^0?3844\d{6}$
阿根廷-阿尼亚图亚-移动电话,54,^0?384415\d{6}$
阿根廷-安达尔加拉-固定电话,54,^0?3835\d{6}$
阿根廷-安达尔加拉-移动电话,54,^0?383515\d{6}$
阿根廷-阿波斯托莱斯-固定电话,54,^0?3758\d{6}$
阿根廷-阿波斯托莱斯-移动电话,54,^0?375815\d{6}$
阿根廷-Argüello-固定电话,54,^0?3543\d{6}$
阿根廷-Argüello-移动电话,54,^0?354315\d{6}$
阿根廷-阿雷西费斯-固定电话,54,^0?2478\d{6}$
阿根廷-阿雷西费斯-移动电话,54,^0?247815\d{6}$
阿根廷-阿罗伊托(科尔多瓦省)-固定电话,54,^0?3576\d{6}$
阿根廷-阿罗伊托(科尔多瓦省)-移动电话,54,^0?357615\d{6}$
阿根廷-阿罗约塞科-固定电话,54,^0?3402\d{6}$
阿根廷-阿罗约塞科-移动电话,54,^0?340215\d{6}$
阿根廷-阿亚库乔-固定电话,54,^0?2296\d{6}$
阿根廷-阿亚库乔-移动电话,54,^0?229615\d{6}$
阿根廷-阿苏尔-固定电话,54,^0?2281\d{6}$
阿根廷-阿苏尔-移动电话,54,^0?228115\d{6}$
阿根廷-布兰卡港-固定电话,54,^0?291\d{7}$
阿根廷-布兰卡港-移动电话,54,^0?29115\d{7}$
阿根廷-巴尔卡塞-固定电话,54,^0?2266\d{6}$
阿根廷-巴尔卡塞-移动电话,54,^0?226615\d{6}$
阿根廷-巴尔内阿里亚-固定电话,54,^0?3563\d{6}$
阿根廷-巴尔内阿里亚-移动电话,54,^0?356315\d{6}$
阿根廷-班德拉-固定电话,54,^0?3857\d{6}$
阿根廷-班德拉-移动电话,54,^0?385715\d{6}$
阿根廷-巴兰卡斯(圣菲省)-固定电话,54,^0?3466\d{6}$
阿根廷-巴兰卡斯(圣菲省)-移动电话,54,^0?346615\d{6}$
阿根廷-Barreal-固定电话,54,^0?2648\d{6}$
阿根廷-Barreal-移动电话,54,^0?264815\d{6}$
阿根廷-贝尔维尔-固定电话,54,^0?3537\d{6}$
阿根廷-贝尔维尔-移动电话,54,^0?353715\d{6}$
阿根廷-贝尼托华雷斯-固定电话,54,^0?2292\d{6}$
阿根廷-贝尼托华雷斯-移动电话,54,^0?229215\d{6}$
阿根廷-贝尔纳多德伊里戈延-固定电话,54,^0?3741\d{6}$
阿根廷-贝尔纳多德伊里戈延-移动电话,54,^0?374115\d{6}$
阿根廷-圣卡洛斯德玻利瓦尔镇-固定电话,54,^0?2314\d{6}$
阿根廷-圣卡洛斯德玻利瓦尔镇-移动电话,54,^0?231415\d{6}$
阿根廷-Bouchard-固定电话,54,^0?3387\d{6}$
阿根廷-Bouchard-移动电话,54,^0?338715\d{6}$
阿根廷-布拉加多-固定电话,54,^0?2342\d{6}$
阿根廷-布拉加多-移动电话,54,^0?234215\d{6}$
阿根廷-布埃纳埃斯佩兰萨-固定电话,54,^0?2658\d{6}$
阿根廷-布埃纳埃斯佩兰萨-移动电话,54,^0?265815\d{6}$
阿根廷-布鲁亚库-固定电话,54,^0?3894\d{6}$
阿根廷-布鲁亚库-移动电话,54,^0?389415\d{6}$
阿根廷-卡阿卡蒂-固定电话,54,^0?3781\d{6}$
阿根廷-卡阿卡蒂-移动电话,54,^0?378115\d{6}$
阿根廷-卡法亚特-固定电话,54,^0?3868\d{6}$
阿根廷-卡法亚特-移动电话,54,^0?386815\d{6}$
阿根廷-Caleufu-固定电话,54,^0?2335\d{6}$
阿根廷-Caleufu-移动电话,54,^0?233515\d{6}$
阿根廷-坎帕纳-固定电话,54,^0?3489\d{6}$
阿根廷-坎帕纳-移动电话,54,^0?348915\d{6}$
阿根廷-坎波加略-固定电话,54,^0?3846\d{6}$
阿根廷-坎波加略-移动电话,54,^0?384615\d{6}$
阿根廷-卡尼亚达德戈梅斯-固定电话,54,^0?3471\d{6}$
阿根廷-卡尼亚达德戈梅斯-移动电话,54,^0?347115\d{6}$
阿根廷-卡纳尔斯-固定电话,54,^0?3463\d{6}$
阿根廷-卡纳尔斯-移动电话,54,^0?346315\d{6}$
阿根廷-Cañuelas-固定电话,54,^0?2226\d{6}$
阿根廷-Cañuelas-移动电话,54,^0?222615\d{6}$
阿根廷-Carhue-固定电话,54,^0?2936\d{6}$
阿根廷-Carhue-移动电话,54,^0?293615\d{6}$
阿根廷-卡洛斯卡萨雷斯-固定电话,54,^0?2395\d{6}$
阿根廷-卡洛斯卡萨雷斯-移动电话,54,^0?239515\d{6}$
阿根廷-CarlosSpegazzini-固定电话,54,^0?2274\d{6}$
阿根廷-CarlosSpegazzini-移动电话,54,^0?227415\d{6}$
阿根廷-CarlosTejedor-固定电话,54,^0?2357\d{6}$
阿根廷-CarlosTejedor-移动电话,54,^0?235715\d{6}$
阿根廷-CarmenDeAreco-固定电话,54,^0?2273\d{6}$
阿根廷-CarmenDeAreco-移动电话,54,^0?227315\d{6}$
阿根廷-卡西尔达-固定电话,54,^0?3464\d{6}$
阿根廷-卡西尔达-移动电话,54,^0?346415\d{6}$
阿根廷-卡塔马卡-固定电话,54,^0?383\d{7}$
阿根廷-卡塔马卡-移动电话,54,^0?38315\d{7}$
阿根廷-Ceres-固定电话,54,^0?3491\d{6}$
阿根廷-Ceres-移动电话,54,^0?349115\d{6}$
阿根廷-查卡布科-固定电话,54,^0?2352\d{6}$
阿根廷-查卡布科-移动电话,54,^0?235215\d{6}$
阿根廷-Chajari-固定电话,54,^0?3456\d{6}$
阿根廷-Chajari-移动电话,54,^0?345615\d{6}$
阿根廷-查马卡尔-固定电话,54,^0?3826\d{6}$
阿根廷-查马卡尔-移动电话,54,^0?382615\d{6}$
